frame,status,rmse,angle_axis_x,angle_axis_y,angle_axis_z,translation_x,translation_y,translation_z,focal_length,expression_0,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29
0,initialized,0,0.09591452302,0.05854923705,1.619561059,-21.68606607,9.067277901,667.4786074,1.203529897,-0.2587029803,0.8497762557,0.05258206685,-0.07000322845,0.01295540221,0.4716944207,-0.2515496707,-0.03462499135,-0.5084305235,0.2907354058,0.04813181815,0.608987516,0.3344165952,1.098134944,0.3740301808,0.1376976335,-0.2199798545,0.03016600245,0.3666291856,0.3070770128,0.01221519759,-0.1849356284,0.5188094437,-0.2905038669,0.2975591476,-0.008294611291,-0.128294664,-0.1308894371,0.004312271967,0.09083807728
1,tracked,0.01115757446,0.09464649707,0.05527120903,1.62514846,-21.68623381,9.067078206,667.3621768,1.203529897,-0.2413848209,0.8044075087,0.05315927444,-0.06877695761,0.01430632526,0.4523672477,-0.2404725421,-0.030536959,-0.478712367,0.2754024003,0.04306468657,0.5735944908,0.3177950846,1.039374996,0.3530004482,0.1334117953,-0.2075642177,0.02985755538,0.3475998621,0.2909717008,0.01147689316,-0.1760016141,0.4899776999,-0.2743094687,0.2805717907,-0.006579843404,-0.1208234906,-0.1243621561,0.00386441706,0.08512891688
2,tracked,0.0109216858,0.094297985,0.05557010261,1.624957436,-21.68639937,9.066984617,667.589044,1.203529897,-0.2261665109,0.7546766566,0.05334217613,-0.06693213911,0.0150987011,0.430773811,-0.2284789595,-0.02544860401,-0.4449352011,0.2577092886,0.03749161335,0.533919502,0.2985929198,0.9727462695,0.3291165155,0.1288951271,-0.1933348807,0.02937520434,0.3265258584,0.272866397,0.01070486373,-0.1657425759,0.4578967003,-0.2559604024,0.2615542684,-0.004775452006,-0.1122146449,-0.1168263517,0.00316881646,0.07856722617
3,tracked,0.01149229232,0.09216598798,0.05534932115,1.620393237,-21.68654577,9.0668034,667.2716332,1.203529897,-0.2132533269,0.7077651716,0.05356724363,-0.06524791528,0.01613688269,0.4100790424,-0.2186957609,-0.02134311949,-0.4121995267,0.2399651547,0.03158154094,0.4956406701,0.2804213046,0.908709001,0.3063241024,0.1247115232,-0.1791127998,0.02906484113,0.3060104207,0.2553908885,0.009916161792,-0.1562205337,0.4270435146,-0.2385573178,0.2432368763,-0.002794098934,-0.1036274589,-0.1095382755,0.002249354064,0.07203339305
4,tracked,0.0113151182,0.09216110479,0.05431986588,1.620131895,-21.68666771,9.066388437,667.9468916,1.203529897,-0.2045331328,0.6683776724,0.05438695493,-0.06400107771,0.01686265236,0.3923472439,-0.209325455,-0.01614840494,-0.3818530245,0.2244098285,0.02553632515,0.4597738751,0.2642600477,0.8500536163,0.2844553998,0.1209140173,-0.1653321762,0.0289699505,0.2868777442,0.2391452114,0.00936579056,-0.147561664,0.3977786951,-0.2223855321,0.2260228151,-0.0007151245477,-0.09569835997,-0.1026435167,0.001018755461,0.06585519087
5,tracked,0.01215489675,0.0881635307,0.05340441209,1.621099225,-21.68684267,9.065648788,665.625321,1.203529897,-0.1993971725,0.6347552149,0.05560872328,-0.06308366989,0.01678365782,0.3772067473,-0.199340615,-0.009227564278,-0.353837099,0.2093684835,0.02069040584,0.4262205096,0.2495748189,0.7959995145,0.2641175688,0.1170622899,-0.1517899133,0.02928271506,0.2696159597,0.2242255778,0.009162138637,-0.1394626985,0.3715065515,-0.2075768602,0.2101767264,0.001351221837,-0.08805033138,-0.09614863119,-0.0001011451699,0.0599489814
6,tracked,0.01294751068,0.08460139059,0.0517912609,1.619715731,-21.68688264,9.064919389,661.9196837,1.203529897,-0.1967558352,0.6060617207,0.0576065041,-0.06294657676,0.01704548931,0.363810914,-0.1905597726,-0.00247263239,-0.3279330262,0.1954085863,0.0153361631,0.3949288067,0.2371373975,0.7460432249,0.2454107145,0.1140503265,-0.1387465997,0.02986218602,0.2542218853,0.2099976851,0.009159122302,-0.131101657,0.3476775188,-0.1935921839,0.1955180264,0.003776509295,-0.08079028736,-0.09025758654,-0.001197588236,0.05528021515
7,tracked,0.01302223878,0.08638346171,0.05039070917,1.624588109,-21.68703967,9.064146775,661.7489304,1.203529897,-0.2018994316,0.5837685692,0.05944951176,-0.06247152729,0.01594485436,0.3542019397,-0.1820914367,0.006447602133,-0.3035460664,0.1825469886,0.01038199739,0.365423697,0.2255535152,0.6999075065,0.2273646786,0.1113459629,-0.1259639007,0.03037827268,0.2404519144,0.1965590715,0.00954271288,-0.1236459697,0.3250532945,-0.1806983746,0.1822568656,0.005491805185,-0.07417030809,-0.08458661668,-0.002692945673,0.05021959277
8,tracked,0.01314995227,0.08749225615,0.04905403399,1.62176865,-21.68717852,9.063538487,658.2733465,1.203529897,-0.2083083642,0.5639641778,0.06142390639,-0.0625159554,0.01520621324,0.3457885364,-0.1743689379,0.01485427615,-0.2806204463,0.1702461391,0.005434001596,0.3380603503,0.2153420489,0.6571856104,0.210437802,0.1088747059,-0.114030119,0.03093655435,0.2279902543,0.1837830059,0.009904159673,-0.1170016825,0.3036043873,-0.1686219794,0.1700379849,0.006929279458,-0.06807442112,-0.07932403797,-0.00413897148,0.04534098407
9,tracked,0.01352754105,0.0881001006,0.04789725037,1.619244921,-21.68730772,9.062919413,655.093809,1.203529897,-0.216689235,0.5467906843,0.06316181382,-0.06262490374,0.01453034137,0.3384929161,-0.16877164,0.0220341166,-0.2593614862,0.1587143893,0.0001657773448,0.3129869944,0.2057905907,0.6182504367,0.194742207,0.1067314714,-0.1028480826,0.03147930037,0.2163219363,0.1721069676,0.01018539608,-0.1109745432,0.2835002117,-0.1573449094,0.1587869239,0.008695587639,-0.06231950571,-0.07423210669,-0.005629747047,0.04076554098
10,tracked,0.01366489627,0.09713931578,0.0490913163,1.619504864,-21.68732033,9.062460935,654.5193313,1.203529897,-0.2199259535,0.5325402984,0.06579168507,-0.06358106759,0.01462493281,0.332029291,-0.1617518799,0.03008501028,-0.2396918772,0.1494102938,-0.003711069106,0.289298474,0.1973702097,0.5819172658,0.1808107394,0.1044141607,-0.09257968268,0.03192090675,0.2059187108,0.1608552217,0.01086683332,-0.106000815,0.2644648091,-0.1465993965,0.1487154588,0.009863271274,-0.05706912265,-0.06937369527,-0.00671599236,0.03642705963
11,tracked,0.01377710834,0.09954305553,0.0506753716,1.623285438,-21.68736032,9.062269583,654.7223672,1.203529897,-0.2229596227,0.5220159617,0.06830008068,-0.06453039421,0.01516315252,0.325939784,-0.1544842017,0.0380610671,-0.2215570359,0.1415901917,-0.006480790038,0.268295944,0.1898106361,0.54889128,0.1677440445,0.1018922718,-0.08307391944,0.03203665884,0.1966105332,0.1508301549,0.01136933145,-0.1022427776,0.2464522289,-0.1360003959,0.139773074,0.01081261742,-0.05220690574,-0.06452017496,-0.007576277329,0.03233564021
